,bs,auc
0,0,0.968945342319637
1,1,0.9689180332611167
2,2,0.9671469288199491
3,3,0.966804867645554
4,4,0.9650906432570432
5,5,0.9680757884881407
6,6,0.9668805827000972
7,7,0.9671226201073015
8,8,0.9665073383658841
9,9,0.9673473433799793
10,10,0.9683217558803809
11,11,0.9670937084845741
12,12,0.9647999363232433
13,13,0.9673082966459323
14,14,0.9661287318131724
15,15,0.966982069024819
16,16,0.9667748767211526
17,17,0.9665875152178263
18,18,0.9657459564631234
19,19,0.966070962835427
20,20,0.9684793772301914
21,21,0.966560055400945
